  Element 59: Pr      Atomic mass:  140.9077

  Edge          keV         A
    K        41.9906    0.2953
    L-I       6.8348    1.8140
    L-II      6.4404    1.9251
    L-III     5.9643    2.0788
    M1        1.5110    8.2054
    M2        1.3374    9.2705
    M3        1.2422    9.9810

Scattering factors as a function of energy: 

   18800.00     -0.2608290       2.492409    
   18900.00     -0.2676159       2.469463    
   19000.00     -0.2744211       2.446836    
   19100.00     -0.2812433       2.424523    
   19200.00     -0.2880813       2.402517    
   19300.00     -0.2949336       2.380813    
   19400.00     -0.3017993       2.359405    
   19500.00     -0.3086774       2.338287    
   19600.00     -0.3155667       2.317455    
   19700.00     -0.3224663       2.296904    
   19800.00     -0.3293750       2.276627    
   19900.00     -0.3362924       2.256621    
   20000.00     -0.3432174       2.236880    
   20100.00     -0.3501493       2.217399    
   20200.00     -0.3570874       2.198174    
   20300.00     -0.3640308       2.179202    
   20400.00     -0.3709792       2.160475    
   20500.00     -0.3779318       2.141992    
   20600.00     -0.3848881       2.123747    
   20700.00     -0.3918476       2.105736    
   20800.00     -0.3988096       2.087956    
   20900.00     -0.4057739       2.070402    
   21000.00     -0.4127401       2.053070    
   21100.00     -0.4197077       2.035957    
   21200.00     -0.4266763       2.019059    
   21300.00     -0.4336455       2.002373    
   21400.00     -0.4406154       1.985893    
   21500.00     -0.4475854       1.969619    
   21600.00     -0.4545554       1.953545    
   21700.00     -0.4615251       1.937668    
   21800.00     -0.4684943       1.921987    
   21900.00     -0.4754631       1.906495    
   22000.00     -0.4824311       1.891192    
   22100.00     -0.4893983       1.876074    
   22200.00     -0.4963645       1.861138    
   22300.00     -0.5033297       1.846381    
   22400.00     -0.5102940       1.831799    
   22500.00     -0.5172573       1.817391    
   22600.00     -0.5242196       1.803153    
   22700.00     -0.5311809       1.789083    
   22800.00     -0.5381411       1.775179    
   22900.00     -0.5451006       1.761436    
   23000.00     -0.5520593       1.747854    
   23100.00     -0.5590173       1.734429    
   23200.00     -0.5659748       1.721159    
   23300.00     -0.5729319       1.708042    
   23400.00     -0.5798889       1.695075    
   23500.00     -0.5868458       1.682255    
   23600.00     -0.5938030       1.669582    
   23700.00     -0.6007607       1.657051    
   23800.00     -0.6077189       1.644663    
   23900.00     -0.6146784       1.632413    
   24000.00     -0.6216391       1.620300    
   24100.00     -0.6286015       1.608322    
   24200.00     -0.6355659       1.596477    
   24300.00     -0.6425327       1.584763    
   24400.00     -0.6495025       1.573178    
   24500.00     -0.6564755       1.561720    
   24600.00     -0.6634523       1.550387    
   24700.00     -0.6704335       1.539178    
   24800.00     -0.6774194       1.528090    
   24900.00     -0.6844110       1.517122    
