  Element 88: Ra      Atomic mass:  226.0254

  Edge          keV         A
    K       103.9219    0.1193
    L-I      19.2367    0.6445
    L-II     18.4843    0.6708
    L-III    15.4444    0.8028
    M1        4.8220    2.5712
    M2        4.4895    2.7616
    M3        3.7918    3.2698
    M4        3.2484    3.8168
    M5        3.1049    3.9932
    N1        1.2084   10.2602
    N2        1.0576   11.7232

Scattering factors as a function of energy: 

   19159.00      -6.989218       9.830347    
   19164.00      -7.010961       9.826061    
   19169.00      -7.035051       9.821777    
   19174.00      -7.061820       9.817497    
   19179.00      -7.091725       9.813217    
   19184.00      -7.125301       9.808942    
   19189.00      -7.163281       9.804668    
   19194.00      -7.206648       9.800396    
   19199.00      -7.256696       9.796127    
   19200.00      -7.267679       9.795272    
   19204.00      -7.315361       9.791859    
   19209.00      -7.385443       9.787595    
   19214.00      -7.471559       9.783332    
   19219.00      -7.581642       9.779073    
   19224.00      -7.731892       9.774815    
   19229.00      -7.963276       9.770559    
   19234.00      -8.458514       9.766308    
   19239.00      -8.529177       11.27883    
   19244.00      -7.962016       11.27440    
   19249.00      -7.700541       11.26996    
   19254.00      -7.526437       11.26554    
   19259.00      -7.394456       11.26111    
   19264.00      -7.287487       11.25669    
   19269.00      -7.197042       11.25226    
   19274.00      -7.118333       11.24784    
   19279.00      -7.048460       11.24343    
   19284.00      -6.985408       11.23901    
   19289.00      -6.927855       11.23460    
   19294.00      -6.874764       11.23018    
   19299.00      -6.825432       11.22577    
   19300.00      -6.815965       11.22489    
   19304.00      -6.779250       11.22137    
   19309.00      -6.735804       11.21696    
   19314.00      -6.694718       11.21256    
   19319.00      -6.655686       11.20816    
   19324.00      -6.618500       11.20376    
   19329.00      -6.582930       11.19937    
   19334.00      -6.548835       11.19497    
   19400.00      -6.188701       11.13718    
   19500.00      -5.810664       11.05037    
   19600.00      -5.512585       10.96448    
   19700.00      -5.262840       10.87943    
   19800.00      -5.045182       10.79521    
   19900.00      -4.850560       10.71182    
   20000.00      -4.673904       10.62923    
   20100.00      -4.553285       10.54791    
   20200.00      -4.403911       10.46903    
   20300.00      -4.264709       10.39098    
   20400.00      -4.134296       10.31374    
   20500.00      -4.011596       10.23730    
   20600.00      -3.895739       10.16166    
   20700.00      -3.786011       10.08679    
   20800.00      -3.681820       10.01269    
   20900.00      -3.585818       9.939344    
   21000.00      -3.491280       9.866792    
   21100.00      -3.400971       9.794973    
   21200.00      -3.314574       9.723881    
   21300.00      -3.231808       9.653503    
   21400.00      -3.152420       9.583831    
   21500.00      -3.076188       9.514853    
   21600.00      -3.002914       9.446559    
   21700.00      -2.932418       9.378942    
   21800.00      -2.864541       9.311995    
   21900.00      -2.799131       9.245703    
   22000.00      -2.736057       9.180059    
   22100.00      -2.675195       9.115057    
   22200.00      -2.616435       9.050686    
   22300.00      -2.559672       8.986939    
   22400.00      -2.504810       8.923807    
   22500.00      -2.451760       8.861281    
   22600.00      -2.403423       8.799364    
   22700.00      -2.353759       8.738045    
   22800.00      -2.305681       8.677311    
   22900.00      -2.259118       8.617151    
   23000.00      -2.214011       8.557560    
   23100.00      -2.170301       8.498529    
   23200.00      -2.127933       8.440054    
   23300.00      -2.086856       8.382126    
   23400.00      -2.047021       8.324738    
   23500.00      -2.008382       8.267881    
   23600.00      -1.970897       8.211553    
   23700.00      -1.934524       8.155744    
   23800.00      -1.899226       8.100450    
   23900.00      -1.864966       8.045662    
   24000.00      -1.831719       7.991375    
   24100.00      -1.820439       7.938203    
   24200.00      -1.789412       7.885796    
   24300.00      -1.759261       7.833889    
   24400.00      -1.729959       7.782474    
   24500.00      -1.701480       7.731545    
   24600.00      -1.673797       7.681098    
   24700.00      -1.646885       7.631124    
   24800.00      -1.620721       7.581619    
   24900.00      -1.595282       7.532575    
