  Element 69: Tm      Atomic mass:  168.9342

  Edge          keV         A
    K        59.3896    0.2088
    L-I      10.1157    1.2257
    L-II      9.6169    1.2892
    L-III     8.6480    1.4337
    M1        2.3068    5.3747
    M2        2.0898    5.9328
    M3        1.8845    6.5792
    M4        1.5146    8.1859
    M5        1.4677    8.4475

Scattering factors as a function of energy: 

   12200.00      -2.083152       9.422239    
   12300.00      -1.995895       9.309882    
   12400.00      -1.913114       9.200412    
   12500.00      -1.834395       9.093732    
   12600.00      -1.612362       8.978210    
   12700.00      -1.536928       8.864595    
   12800.00      -1.465406       8.753050    
   12900.00      -1.397560       8.643524    
   13000.00      -1.333170       8.535966    
   13100.00      -1.272036       8.430329    
   13200.00      -1.231922       8.327248    
   13300.00      -1.177342       8.226731    
   13400.00      -1.125432       8.128063    
   13500.00      -1.076043       8.031195    
   13600.00      -1.029038       7.936083    
   13700.00     -0.9842888       7.842686    
   13800.00     -0.9416775       7.750959    
   13900.00     -0.9010938       7.660865    
   14000.00     -0.8624339       7.572361    
   14100.00     -0.8256013       7.485413    
   14200.00     -0.7905061       7.399981    
   14300.00     -0.7570627       7.316031    
   14400.00     -0.7251920       7.233527    
   14500.00     -0.6948187       7.152436    
   14600.00     -0.6658723       7.072725    
   14700.00     -0.6387367       6.994364    
   14800.00     -0.6124502       6.917321    
   14900.00     -0.5874037       6.841567    
   15000.00     -0.5635404       6.767070    
   15100.00     -0.5408078       6.693804    
   15200.00     -0.5191561       6.621742    
   15300.00     -0.4985378       6.550855    
   15400.00     -0.4789086       6.481120    
   15500.00     -0.4602257       6.412508    
   15600.00     -0.4424490       6.344998    
   15700.00     -0.4255404       6.278565    
   15800.00     -0.4094635       6.213185    
   15900.00     -0.3941840       6.148838    
   16000.00     -0.3796688       6.085498    
   16100.00     -0.3658868       6.023146    
   16200.00     -0.3528083       5.961761    
   16300.00     -0.3404053       5.901325    
   16400.00     -0.3286502       5.841814    
   16500.00     -0.3175175       5.783211    
   16600.00     -0.3069828       5.725497    
   16700.00     -0.2970226       5.668654    
   16800.00     -0.2876146       5.612666    
   16900.00     -0.2787372       5.557512    
   17000.00     -0.2703700       5.503178    
   17100.00     -0.2624936       5.449647    
   17200.00     -0.2550892       5.396902    
   17300.00     -0.2517192       5.344934    
   17400.00     -0.2452217       5.293831    
   17500.00     -0.2391418       5.243469    
   17600.00     -0.2334637       5.193833    
   17700.00     -0.2281726       5.144909    
   17800.00     -0.2232542       5.096685    
   17900.00     -0.2186946       5.049145    
   18000.00     -0.2144806       5.002276    
   18100.00     -0.2105996       4.956067    
   18200.00     -0.2070394       4.910503    
   18300.00     -0.2037885       4.865576    
   18400.00     -0.2008356       4.821269    
   18500.00     -0.1981699       4.777574    
   18600.00     -0.1957811       4.734477    
   18700.00     -0.1936594       4.691969    
   18800.00     -0.1917952       4.650039    
   18900.00     -0.1901793       4.608675    
   19000.00     -0.1888029       4.567868    
   19100.00     -0.1876576       4.527607    
   19200.00     -0.1867351       4.487882    
   19300.00     -0.1903472       4.448767    
   19400.00     -0.1898655       4.410210    
   19500.00     -0.1895810       4.372161    
   19600.00     -0.1894868       4.334612    
   19700.00     -0.1895763       4.297552    
   19800.00     -0.1898429       4.260975    
   19900.00     -0.1902805       4.224870    
   20000.00     -0.1908831       4.189229    
   20100.00     -0.1916450       4.154046    
   20200.00     -0.1925606       4.119311    
   20300.00     -0.1950283       4.085044    
   20400.00     -0.1962468       4.051222    
   20500.00     -0.1976029       4.017827    
   20600.00     -0.1990915       3.984850    
   20700.00     -0.2007082       3.952285    
   20800.00     -0.2024485       3.920126    
   20900.00     -0.2043080       3.888364    
   21000.00     -0.2062827       3.856994    
   21100.00     -0.2083686       3.826009    
   21200.00     -0.2105618       3.795402    
   21300.00     -0.2128585       3.765168    
   21400.00     -0.2152553       3.735300    
   21500.00     -0.2177487       3.705792    
   21600.00     -0.2203352       3.676638    
   21700.00     -0.2230117       3.647833    
   21800.00     -0.2257749       3.619371    
   21900.00     -0.2286221       3.591247    
   22000.00     -0.2315502       3.563454    
   22100.00     -0.2345565       3.535988    
   22200.00     -0.2376381       3.508844    
   22300.00     -0.2407925       3.482016    
   22400.00     -0.2440172       3.455500    
   22500.00     -0.2473097       3.429290    
   22600.00     -0.2506676       3.403382    
   22700.00     -0.2540888       3.377770    
   22800.00     -0.2575708       3.352452    
   22900.00     -0.2611117       3.327422    
   23000.00     -0.2647094       3.302675    
   23100.00     -0.2683619       3.278207    
   23200.00     -0.2720672       3.254014    
   23300.00     -0.2758235       3.230093    
   23400.00     -0.2796290       3.206437    
   23500.00     -0.2834820       3.183044    
   23600.00     -0.2873808       3.159910    
   23700.00     -0.2913238       3.137031    
   23800.00     -0.2953092       3.114404    
   23900.00     -0.2993358       3.092023    
   24000.00     -0.3034020       3.069886    
   24100.00     -0.3075063       3.047990    
   24200.00     -0.3118408       3.026330    
   24300.00     -0.3160165       3.004903    
   24400.00     -0.3202274       2.983707    
   24500.00     -0.3244713       2.962736    
   24600.00     -0.3287470       2.941989    
   24700.00     -0.3330534       2.921462    
   24800.00     -0.3373892       2.901152    
   24900.00     -0.3417537       2.881056    
