  Element 84: Po      Atomic mass:  209.0000

  Edge          keV         A
    K        93.1050    0.1332
    L-I      16.9393    0.7319
    L-II     16.2443    0.7632
    L-III    13.8138    0.8975
    M1        4.1494    2.9880
    M2        3.8541    3.2169
    M3        3.3019    3.7549
    M4        2.7980    4.4312
    M5        2.6830    4.6211

Scattering factors as a function of energy: 

   16202.00      -9.192910       7.697230    
   16207.00      -9.314001       7.693090    
   16212.00      -9.452865       7.688954    
   16217.00      -9.615555       7.684822    
   16222.00      -9.811843       7.680691    
   16227.00      -10.05873       7.676565    
   16232.00      -10.39145       7.672441    
   16237.00      -10.90152       7.668321    
   16242.00      -12.03436       7.664203    
   16247.00      -11.88335       10.75657    
   16252.00      -10.84639       10.75106    
   16257.00      -10.35010       10.74556    
   16262.00      -10.02004       10.74006    
   16267.00      -9.772029       10.73456    
   16272.00      -9.573282       10.72907    
   16277.00      -9.407247       10.72358    
   16282.00      -9.264704       10.71809    
   16287.00      -9.139707       10.71261    
   16292.00      -9.028459       10.70713    
   16297.00      -8.928150       10.70166    
   16300.00      -8.872432       10.69838    
   16302.00      -8.836877       10.69619    
   16307.00      -8.753113       10.69073    
   16312.00      -8.675685       10.68526    
   16317.00      -8.603753       10.67981    
   16322.00      -8.536542       10.67435    
   16327.00      -8.473519       10.66890    
   16332.00      -8.414155       10.66346    
   16337.00      -8.358090       10.65802    
   16342.00      -8.304967       10.65258    
   16400.00      -7.834822       10.58979    
   16500.00      -7.349008       10.48276    
   16600.00      -7.060318       10.37725    
   16700.00      -6.903452       10.27325    
   16800.00      -6.901704       10.17083    
   16842.00      -6.975182       10.12825    
   16847.00      -6.989297       10.12319    
   16852.00      -7.004944       10.11815    
   16857.00      -7.022304       10.11310    
   16862.00      -7.041567       10.10806    
   16867.00      -7.062994       10.10302    
   16872.00      -7.086866       10.09798    
   16877.00      -7.113568       10.09295    
   16882.00      -7.143539       10.08793    
   16887.00      -7.177375       10.08290    
   16892.00      -7.215855       10.07788    
   16897.00      -7.259971       10.07286    
   16900.00      -7.289723       10.06986    
   16902.00      -7.311164       10.06785    
   16907.00      -7.371414       10.06284    
   16912.00      -7.443812       10.05783    
   16917.00      -7.533209       10.05283    
   16922.00      -7.648362       10.04783    
   16927.00      -7.806918       10.04284    
   16932.00      -8.055369       10.03785    
   16937.00      -8.619172       10.03286    
   16942.00      -8.531376       11.59430    
   16947.00      -7.997626       11.58910    
   16952.00      -7.737277       11.58390    
   16957.00      -7.560921       11.57870    
   16962.00      -7.426176       11.57350    
   16967.00      -7.316296       11.56831    
   16972.00      -7.222967       11.56313    
   16977.00      -7.141535       11.55794    
   16982.00      -7.068990       11.55276    
   16987.00      -7.003418       11.54759    
   16992.00      -6.943395       11.54241    
   16997.00      -6.887962       11.53724    
   17000.00      -6.856567       11.53414    
   17002.00      -6.836328       11.53207    
   17007.00      -6.787951       11.52691    
   17012.00      -6.742359       11.52175    
   17017.00      -6.699170       11.51659    
   17022.00      -6.658123       11.51144    
   17027.00      -6.618942       11.50628    
   17032.00      -6.581456       11.50114    
   17037.00      -6.545474       11.49599    
   17100.00      -6.178055       11.43145    
   17200.00      -5.761755       11.33007    
   17300.00      -5.439455       11.22997    
   17400.00      -5.169321       11.13111    
   17500.00      -4.933788       11.03349    
   17600.00      -4.723547       10.93709    
   17700.00      -4.532949       10.84187    
   17800.00      -4.358251       10.74783    
   17900.00      -4.196805       10.65494    
   18000.00      -4.065269       10.56357    
   18100.00      -3.925225       10.47388    
   18200.00      -3.793731       10.38530    
   18300.00      -3.669846       10.29782    
   18400.00      -3.552779       10.21142    
   18500.00      -3.441877       10.12608    
   18600.00      -3.336584       10.04177    
   18700.00      -3.237333       9.958488    
   18800.00      -3.141900       9.876217    
   18900.00      -3.050822       9.794932    
   19000.00      -2.963787       9.714618    
   19100.00      -2.880515       9.635258    
   19200.00      -2.800757       9.556837    
   19300.00      -2.724289       9.479340    
   19400.00      -2.650907       9.402749    
   19500.00      -2.580430       9.327051    
   19600.00      -2.512692       9.252231    
   19700.00      -2.447541       9.178275    
   19800.00      -2.384840       9.105171    
   19900.00      -2.324460       9.032902    
   20000.00      -2.266283       8.961456    
   20100.00      -2.210202       8.890821    
   20200.00      -2.156117       8.820981    
   20300.00      -2.103935       8.751929    
   20400.00      -2.053568       8.683648    
   20500.00      -2.004935       8.616127    
   20600.00      -1.957962       8.549356    
   20700.00      -1.912579       8.483321    
   20800.00      -1.868718       8.418014    
   20900.00      -1.826318       8.353420    
   21000.00      -1.785322       8.289532    
   21100.00      -1.745704       8.226336    
   21200.00      -1.713325       8.164061    
   21300.00      -1.676321       8.102515    
   21400.00      -1.640503       8.041637    
   21500.00      -1.605829       7.981420    
   21600.00      -1.572259       7.921851    
   21700.00      -1.539753       7.862922    
   21800.00      -1.508274       7.804624    
   21900.00      -1.477785       7.746946    
   22000.00      -1.448259       7.689879    
   22100.00      -1.441178       7.634192    
   22200.00      -1.413889       7.579329    
   22300.00      -1.387430       7.525080    
   22400.00      -1.361774       7.471432    
   22500.00      -1.336892       7.418378    
   22600.00      -1.312760       7.365910    
   22700.00      -1.289352       7.314017    
   22800.00      -1.266645       7.262692    
   22900.00      -1.244615       7.211925    
   23000.00      -1.223241       7.161709    
   23100.00      -1.202501       7.112035    
   23200.00      -1.182376       7.062895    
   23300.00      -1.162847       7.014283    
   23400.00      -1.143893       6.966188    
   23500.00      -1.125499       6.918605    
   23600.00      -1.107647       6.871526    
   23700.00      -1.090320       6.824943    
   23800.00      -1.073502       6.778850    
   23900.00      -1.057179       6.733239    
   24000.00      -1.041335       6.688103    
   24100.00      -1.025956       6.643435    
   24200.00      -1.011028       6.599230    
   24300.00     -0.9965398       6.555481    
   24400.00     -0.9824764       6.512180    
   24500.00     -0.9688264       6.469322    
   24600.00     -0.9555777       6.426900    
   24700.00     -0.9427190       6.384909    
   24800.00     -0.9302391       6.343343    
   24900.00     -0.9181269       6.302195    
