  Element 66: Dy      Atomic mass:  162.5000

  Edge          keV         A
    K        53.7885    0.2305
    L-I       9.0458    1.3706
    L-II      8.5806    1.4449
    L-III     7.7901    1.5916
    M1        2.0468    6.0575
    M2        1.8418    6.7317
    M3        1.6756    7.3994
    M4        1.3325    9.3046
    M5        1.2949    9.5748

Scattering factors as a function of energy: 

   13900.00     -0.4071907       6.472534    
   14000.00     -0.3869159       6.396531    
   14100.00     -0.3677333       6.321878    
   14200.00     -0.3495925       6.248543    
   14300.00     -0.3324454       6.176493    
   14400.00     -0.3162470       6.105699    
   14500.00     -0.3009544       6.036131    
   14600.00     -0.2865270       5.967760    
   14700.00     -0.2729267       5.900559    
   14800.00     -0.2601166       5.834501    
   14900.00     -0.2480626       5.769560    
   15000.00     -0.2367314       5.705710    
   15100.00     -0.2260921       5.642926    
   15200.00     -0.2161150       5.581186    
   15300.00     -0.2067717       5.520464    
   15400.00     -0.1980356       5.460739    
   15500.00     -0.1898810       5.401988    
   15600.00     -0.1868301       5.344223    
   15700.00     -0.1797878       5.287519    
   15800.00     -0.1732526       5.231726    
   15900.00     -0.1672034       5.176826    
   16000.00     -0.1616204       5.122797    
   16100.00     -0.1564843       5.069623    
   16200.00     -0.1517771       5.017284    
   16300.00     -0.1474814       4.965765    
   16400.00     -0.1435804       4.915044    
   16500.00     -0.1400583       4.865108    
   16600.00     -0.1369000       4.815940    
   16700.00     -0.1340909       4.767524    
   16800.00     -0.1316173       4.719844    
   16900.00     -0.1294656       4.672884    
   17000.00     -0.1276233       4.626632    
   17100.00     -0.1260782       4.581070    
   17200.00     -0.1292021       4.536242    
   17300.00     -0.1282379       4.492166    
   17400.00     -0.1275336       4.448739    
   17500.00     -0.1270788       4.405950    
   17600.00     -0.1268640       4.363787    
   17700.00     -0.1268797       4.322237    
   17800.00     -0.1271170       4.281288    
   17900.00     -0.1275673       4.240928    
   18000.00     -0.1282223       4.201145    
   18100.00     -0.1306200       4.161933    
   18200.00     -0.1316757       4.123320    
   18300.00     -0.1329121       4.085253    
   18400.00     -0.1343222       4.047721    
   18500.00     -0.1358994       4.010713    
   18600.00     -0.1376372       3.974220    
   18700.00     -0.1395294       3.938233    
   18800.00     -0.1415699       3.902742    
   18900.00     -0.1437532       3.867736    
   19000.00     -0.1460737       3.833209    
   19100.00     -0.1485260       3.799150    
   19200.00     -0.1511053       3.765551    
   19300.00     -0.1538064       3.732404    
   19400.00     -0.1566248       3.699701    
   19500.00     -0.1595559       3.667433    
   19600.00     -0.1625955       3.635592    
   19700.00     -0.1657392       3.604172    
   19800.00     -0.1689831       3.573165    
   19900.00     -0.1723233       3.542562    
   20000.00     -0.1757561       3.512358    
   20100.00     -0.1792779       3.482544    
   20200.00     -0.1828853       3.453115    
   20300.00     -0.1865748       3.424064    
   20400.00     -0.1903434       3.395384    
   20500.00     -0.1941879       3.367068    
   20600.00     -0.1981055       3.339110    
   20700.00     -0.2020932       3.311505    
   20800.00     -0.2061482       3.284246    
   20900.00     -0.2102680       3.257328    
   21000.00     -0.2144500       3.230744    
   21100.00     -0.2186917       3.204489    
   21200.00     -0.2229909       3.178557    
   21300.00     -0.2273450       3.152945    
   21400.00     -0.2317521       3.127645    
   21500.00     -0.2362101       3.102652    
   21600.00     -0.2407168       3.077962    
   21700.00     -0.2452703       3.053570    
   21800.00     -0.2498687       3.029471    
   21900.00     -0.2545102       3.005660    
   22000.00     -0.2591931       2.982132    
   22100.00     -0.2639157       2.958884    
   22200.00     -0.2686764       2.935910    
   22300.00     -0.2734735       2.913206    
   22400.00     -0.2783056       2.890768    
   22500.00     -0.2831714       2.868591    
   22600.00     -0.2880692       2.846672    
   22700.00     -0.2929979       2.825007    
   22800.00     -0.2979561       2.803591    
   22900.00     -0.3029426       2.782421    
   23000.00     -0.3079563       2.761492    
   23100.00     -0.3129959       2.740802    
   23200.00     -0.3180604       2.720346    
   23300.00     -0.3231487       2.700122    
   23400.00     -0.3282598       2.680124    
   23500.00     -0.3333927       2.660351    
   23600.00     -0.3385465       2.640798    
   23700.00     -0.3437203       2.621462    
   23800.00     -0.3489132       2.602340    
   23900.00     -0.3541244       2.583429    
   24000.00     -0.3593532       2.564726    
   24100.00     -0.3645988       2.546227    
   24200.00     -0.3698604       2.527930    
   24300.00     -0.3751372       2.509832    
   24400.00     -0.3804289       2.491929    
   24500.00     -0.3857347       2.474219    
   24600.00     -0.3910540       2.456699    
   24700.00     -0.3963862       2.439366    
   24800.00     -0.4017308       2.422218    
   24900.00     -0.4070874       2.405252    
