  Element 71: Lu      Atomic mass:  174.9670

  Edge          keV         A
    K        63.3138    0.1958
    L-I      10.8704    1.1406
    L-II     10.3486    1.1981
    L-III     9.2441    1.3412
    M1        2.4912    4.9769
    M2        2.2635    5.4775
    M3        2.0236    6.1269
    M4        1.6394    7.5628
    M5        1.5885    7.8051

Scattering factors as a function of energy: 

   11900.00      -3.803715       10.78283    
   12000.00      -3.645951       10.66458    
   12100.00      -3.208311       10.53115    
   12200.00      -3.063115       10.39727    
   12300.00      -2.927761       10.26690    
   12400.00      -2.801211       10.13991    
   12500.00      -2.682579       10.01618    
   12600.00      -2.571104       9.895598    
   12700.00      -2.466127       9.778061    
   12800.00      -2.367388       9.663461    
   12900.00      -2.273739       9.551702    
   13000.00      -2.185041       9.442691    
   13100.00      -2.100893       9.336340    
   13200.00      -2.020931       9.232566    
   13300.00      -1.944827       9.131288    
   13400.00      -1.872287       9.032430    
   13500.00      -1.656789       8.930799    
   13600.00      -1.586417       8.825321    
   13700.00      -1.519468       8.721634    
   13800.00      -1.455750       8.619694    
   13900.00      -1.395085       8.519461    
   14000.00      -1.337303       8.420896    
   14100.00      -1.282256       8.323960    
   14200.00      -1.249408       8.229574    
   14300.00      -1.199978       8.137233    
   14400.00      -1.152805       8.046474    
   14500.00      -1.107774       7.957258    
   14600.00      -1.064775       7.869551    
   14700.00      -1.023709       7.783319    
   14800.00     -0.9844784       7.698527    
   14900.00     -0.9469960       7.615144    
   15000.00     -0.9111772       7.533136    
   15100.00     -0.8769442       7.452474    
   15200.00     -0.8442234       7.373128    
   15300.00     -0.8129448       7.295068    
   15400.00     -0.7830436       7.218267    
   15500.00     -0.7544574       7.142696    
   15600.00     -0.7271284       7.068330    
   15700.00     -0.7010017       6.995143    
   15800.00     -0.6760247       6.923108    
   15900.00     -0.6521486       6.852202    
   16000.00     -0.6293262       6.782400    
   16100.00     -0.6075135       6.713679    
   16200.00     -0.5866683       6.646017    
   16300.00     -0.5667512       6.579392    
   16400.00     -0.5477236       6.513782    
   16500.00     -0.5295496       6.449165    
   16600.00     -0.5121951       6.385523    
   16700.00     -0.4956274       6.322834    
   16800.00     -0.4798157       6.261081    
   16900.00     -0.4647297       6.200243    
   17000.00     -0.4503415       6.140302    
   17100.00     -0.4366242       6.081241    
   17200.00     -0.4235520       6.023041    
   17300.00     -0.4111005       5.965688    
   17400.00     -0.3992459       5.909163    
   17500.00     -0.3879659       5.853449    
   17600.00     -0.3772391       5.798532    
   17700.00     -0.3670450       5.744397    
   17800.00     -0.3573640       5.691028    
   17900.00     -0.3481770       5.638410    
   18000.00     -0.3394663       5.586530    
   18100.00     -0.3312144       5.535372    
   18200.00     -0.3234050       5.484924    
   18300.00     -0.3160222       5.435174    
   18400.00     -0.3090506       5.386106    
   18500.00     -0.3051139       5.337718    
   18600.00     -0.2989324       5.290057    
   18700.00     -0.2931182       5.243043    
   18800.00     -0.2876584       5.196664    
   18900.00     -0.2825406       5.150907    
   19000.00     -0.2777528       5.105761    
   19100.00     -0.2732837       5.061214    
   19200.00     -0.2691223       5.017259    
   19300.00     -0.2652582       4.973882    
   19400.00     -0.2616809       4.931074    
   19500.00     -0.2583809       4.888824    
   19600.00     -0.2553486       4.847122    
   19700.00     -0.2525751       4.805960    
   19800.00     -0.2500516       4.765328    
   19900.00     -0.2477698       4.725216    
   20000.00     -0.2457214       4.685616    
   20100.00     -0.2438988       4.646518    
   20200.00     -0.2422944       4.607914    
   20300.00     -0.2409010       4.569797    
   20400.00     -0.2397116       4.532156    
   20500.00     -0.2387194       4.494984    
   20600.00     -0.2379181       4.458274    
   20700.00     -0.2412578       4.422020    
   20800.00     -0.2408369       4.386316    
   20900.00     -0.2405861       4.351049    
   21000.00     -0.2405000       4.316214    
   21100.00     -0.2405731       4.281803    
   21200.00     -0.2408003       4.247809    
   21300.00     -0.2411765       4.214227    
   21400.00     -0.2416968       4.181047    
   21500.00     -0.2423566       4.148264    
   21600.00     -0.2431512       4.115872    
   21700.00     -0.2440765       4.083864    
   21800.00     -0.2462600       4.052252    
   21900.00     -0.2474425       4.021023    
   22000.00     -0.2487426       3.990160    
   22100.00     -0.2501566       3.959659    
   22200.00     -0.2516809       3.929512    
   22300.00     -0.2533117       3.899714    
   22400.00     -0.2550458       3.870260    
   22500.00     -0.2568797       3.841145    
   22600.00     -0.2588102       3.812362    
   22700.00     -0.2608342       3.783908    
   22800.00     -0.2629488       3.755777    
   22900.00     -0.2651509       3.727964    
   23000.00     -0.2674377       3.700464    
   23100.00     -0.2698067       3.673272    
   23200.00     -0.2722549       3.646384    
   23300.00     -0.2747800       3.619795    
   23400.00     -0.2773794       3.593500    
   23500.00     -0.2800508       3.567496    
   23600.00     -0.2827919       3.541778    
   23700.00     -0.2856003       3.516341    
   23800.00     -0.2884739       3.491182    
   23900.00     -0.2914107       3.466296    
   24000.00     -0.2944085       3.441679    
   24100.00     -0.2974654       3.417328    
   24200.00     -0.3005795       3.393238    
   24300.00     -0.3037489       3.369406    
   24400.00     -0.3069719       3.345828    
   24500.00     -0.3102467       3.322501    
   24600.00     -0.3135716       3.299420    
   24700.00     -0.3169450       3.276582    
   24800.00     -0.3203653       3.253985    
   24900.00     -0.3238311       3.231623    
