  Element 57: La      Atomic mass:  138.9055

  Edge          keV         A
    K        38.9246    0.3185
    L-I       6.2663    1.9786
    L-II      5.8906    2.1048
    L-III     5.4827    2.2614
    M1        1.3613    9.1078
    M2        1.2044   10.2943
    M3        1.1234   11.0365

Scattering factors as a function of energy: 

   18700.00     -0.3362829       2.185000    
   18800.00     -0.3437704       2.164642    
   18900.00     -0.3512626       2.144570    
   19000.00     -0.3587586       2.124778    
   19100.00     -0.3662577       2.105262    
   19200.00     -0.3737592       2.086016    
   19300.00     -0.3812625       2.067036    
   19400.00     -0.3887673       2.048316    
   19500.00     -0.3962729       2.029852    
   19600.00     -0.4037789       2.011638    
   19700.00     -0.4112847       1.993671    
   19800.00     -0.4187900       1.975946    
   19900.00     -0.4262945       1.958458    
   20000.00     -0.4337979       1.941203    
   20100.00     -0.4412999       1.924178    
   20200.00     -0.4488003       1.907377    
   20300.00     -0.4562986       1.890797    
   20400.00     -0.4637950       1.874435    
   20500.00     -0.4712891       1.858285    
   20600.00     -0.4787809       1.842345    
   20700.00     -0.4862702       1.826610    
   20800.00     -0.4937569       1.811079    
   20900.00     -0.5012411       1.795745    
   21000.00     -0.5087228       1.780607    
   21100.00     -0.5162018       1.765661    
   21200.00     -0.5236782       1.750904    
   21300.00     -0.5311520       1.736333    
   21400.00     -0.5386235       1.721943    
   21500.00     -0.5460925       1.707733    
   21600.00     -0.5535593       1.693699    
   21700.00     -0.5610240       1.679839    
   21800.00     -0.5684865       1.666149    
   21900.00     -0.5759474       1.652627    
   22000.00     -0.5834066       1.639270    
   22100.00     -0.5908645       1.626075    
   22200.00     -0.5983211       1.613040    
   22300.00     -0.6057767       1.600161    
   22400.00     -0.6132317       1.587438    
   22500.00     -0.6206864       1.574865    
   22600.00     -0.6281409       1.562443    
   22700.00     -0.6355956       1.550168    
   22800.00     -0.6430507       1.538037    
   22900.00     -0.6505069       1.526049    
   23000.00     -0.6579643       1.514202    
   23100.00     -0.6654233       1.502492    
   23200.00     -0.6728844       1.490918    
   23300.00     -0.6803477       1.479478    
   23400.00     -0.6878141       1.468170    
   23500.00     -0.6952838       1.456991    
   23600.00     -0.7027572       1.445940    
   23700.00     -0.7102348       1.435015    
   23800.00     -0.7198063       1.424224    
   23900.00     -0.7272862       1.413571    
   24000.00     -0.7369367       1.403043    
   24100.00     -0.7444214       1.392639    
   24200.00     -0.7519146       1.382350    
   24300.00     -0.7594152       1.372176    
   24400.00     -0.7669241       1.362115    
   24500.00     -0.7744418       1.352164    
   24600.00     -0.7819690       1.342323    
   24700.00     -0.7895063       1.332589    
   24800.00     -0.7970545       1.322961    
   24900.00     -0.8046146       1.313438    
