  Element 89: Ac      Atomic mass:  227.0278

  Edge          keV         A
    K       106.7553    0.1161
    L-I      19.8400    0.6249
    L-II     19.0832    0.6497
    L-III    15.8710    0.7812
    M1        5.0020    2.4787
    M2        4.6560    2.6629
    M3        3.9090    3.1718
    M4        3.3702    3.6788
    M5        3.2190    3.8516
    N1        1.2690    9.7702
    N2        1.0800   11.4800

Scattering factors as a function of energy: 

   19700.00      -6.851859       9.816549    
   19743.00      -6.936169       9.781022    
   19748.00      -6.951162       9.776901    
   19753.00      -6.967632       9.772781    
   19758.00      -6.985732       9.768665    
   19763.00      -7.005674       9.764549    
   19768.00      -7.027680       9.760438    
   19773.00      -7.052058       9.756326    
   19778.00      -7.079146       9.752218    
   19783.00      -7.109413       9.748111    
   19788.00      -7.143408       9.744007    
   19793.00      -7.181887       9.739906    
   19798.00      -7.225867       9.735805    
   19800.00      -7.245272       9.734166    
   19803.00      -7.276693       9.731708    
   19808.00      -7.336391       9.727611    
   19813.00      -7.407917       9.723517    
   19818.00      -7.496189       9.719425    
   19823.00      -7.609804       9.715336    
   19828.00      -7.766676       9.711249    
   19833.00      -8.014791       9.707163    
   19838.00      -8.603877       9.703080    
   19843.00      -8.403519       11.20309    
   19848.00      -7.924594       11.19883    
   19853.00      -7.682784       11.19457    
   19858.00      -7.517775       11.19032    
   19863.00      -7.391221       11.18607    
   19868.00      -7.287950       11.18182    
   19873.00      -7.200246       11.17757    
   19878.00      -7.123684       11.17332    
   19883.00      -7.055564       11.16907    
   19888.00      -6.993989       11.16483    
   19893.00      -6.937708       11.16059    
   19898.00      -6.885736       11.15635    
   19900.00      -6.866009       11.15465    
   19903.00      -6.837401       11.15211    
   19908.00      -6.792121       11.14788    
   19913.00      -6.749499       11.14364    
   19918.00      -6.709172       11.13941    
   19923.00      -6.670846       11.13518    
   19928.00      -6.634318       11.13095    
   19933.00      -6.599368       11.12673    
   19938.00      -6.565859       11.12251    
   20000.00      -6.229785       11.07029    
   20100.00      -5.845249       10.98670    
   20200.00      -5.556858       10.90389    
   20300.00      -5.309430       10.82193    
   20400.00      -5.093846       10.74070    
   20500.00      -4.901358       10.66022    
   20600.00      -4.726688       10.58047    
   20700.00      -4.615121       10.50305    
   20800.00      -4.467516       10.42715    
   20900.00      -4.329934       10.35200    
   21000.00      -4.201019       10.27759    
   21100.00      -4.079694       10.20392    
   21200.00      -3.965097       10.13097    
   21300.00      -3.856527       10.05874    
   21400.00      -3.753390       9.987205    
   21500.00      -3.655195       9.916366    
   21600.00      -3.561519       9.846211    
   21700.00      -3.475308       9.776744    
   21800.00      -3.389637       9.707979    
   21900.00      -3.307521       9.639872    
   22000.00      -3.228717       9.572412    
   22100.00      -3.153007       9.505594    
   22200.00      -3.080196       9.439408    
   22300.00      -3.010111       9.373848    
   22400.00      -2.942588       9.308903    
   22500.00      -2.877487       9.244566    
   22600.00      -2.814675       9.180829    
   22700.00      -2.754034       9.117685    
   22800.00      -2.695454       9.055129    
   22900.00      -2.638832       8.993150    
   23000.00      -2.584082       8.931741    
   23100.00      -2.534230       8.870909    
   23200.00      -2.482954       8.810637    
   23300.00      -2.433302       8.750918    
   23400.00      -2.385205       8.691740    
   23500.00      -2.338598       8.633099    
   23600.00      -2.293422       8.574987    
   23700.00      -2.249620       8.517401    
   23800.00      -2.207138       8.460331    
   23900.00      -2.165926       8.403772    
   24000.00      -2.125936       8.347718    
   24100.00      -2.087125       8.292164    
   24200.00      -2.049450       8.237103    
   24300.00      -2.012872       8.182529    
   24400.00      -1.977353       8.128437    
   24500.00      -1.942857       8.074821    
   24600.00      -1.909351       8.021674    
   24700.00      -1.876802       7.968993    
   24800.00      -1.845203       7.916772    
   24900.00      -1.841911       7.866028    
