  Element 75: Re      Atomic mass:  186.2070

  Edge          keV         A
    K        71.6764    0.1730
    L-I      12.5267    0.9898
    L-II     11.9587    1.0368
    L-III    10.5353    1.1768
    M1        2.9317    4.2291
    M2        2.6816    4.6235
    M3        2.3673    5.2374
    M4        1.9489    6.3618
    M5        1.8829    6.5847

Scattering factors as a function of energy: 

   22600.00     -0.3617909       4.740862    
   22700.00     -0.3597038       4.705997    
   22800.00     -0.3577966       4.671524    
   22900.00     -0.3560640       4.637433    
   23000.00     -0.3545009       4.603721    
   23100.00     -0.3531023       4.570380    
   23200.00     -0.3518634       4.537407    
   23300.00     -0.3507797       4.504796    
   23400.00     -0.3498466       4.472540    
   23500.00     -0.3490597       4.440635    
   23600.00     -0.3484148       4.409076    
   23700.00     -0.3479080       4.377857    
   23800.00     -0.3475351       4.346974    
   23900.00     -0.3472924       4.316422    
   24000.00     -0.3498015       4.286245    
   24100.00     -0.3498174       4.256401    
   24200.00     -0.3499515       4.226872    
   24300.00     -0.3502003       4.197656    
   24400.00     -0.3505607       4.168747    
   24500.00     -0.3510293       4.140142    
   24600.00     -0.3516033       4.111835    
   24700.00     -0.3522795       4.083823    
   24800.00     -0.3530550       4.056102    
   24900.00     -0.3539272       4.028666    
