  Element 87: Fr      Atomic mass:  223.0000

  Edge          keV         A
    K       101.1370    0.1226
    L-I      18.6390    0.6652
    L-II     17.9065    0.6924
    L-III    15.0312    0.8248
    M1        4.6520    2.6652
    M2        4.3270    2.8654
    M3        3.6630    3.3848
    M4        3.1362    3.9533
    M5        2.9997    4.1332
    N1        1.1530   10.7532

Scattering factors as a function of energy: 

   16200.00      -7.067186       8.874516    
   16300.00      -6.960774       8.783652    
   16400.00      -6.872300       8.693974    
   16500.00      -6.800515       8.605462    
   16600.00      -6.744639       8.518101    
   16700.00      -6.704318       8.431871    
   16800.00      -6.679615       8.346758    
   16900.00      -6.671042       8.262739    
   17000.00      -6.679658       8.179801    
   17100.00      -6.707221       8.097925    
   17200.00      -6.756495       8.017097    
   17300.00      -6.831780       7.937301    
   17400.00      -6.939970       7.858518    
   17500.00      -7.092750       7.780734    
   17600.00      -7.312013       7.703935    
   17700.00      -7.646265       7.628105    
   17800.00      -8.245095       7.553231    
   17809.00      -8.327049       7.546538    
   17814.00      -8.376061       7.542824    
   17819.00      -8.427938       7.539111    
   17824.00      -8.482972       7.535401    
   17829.00      -8.541602       7.531693    
   17834.00      -8.604258       7.527988    
   17839.00      -8.671564       7.524284    
   17844.00      -8.744180       7.520584    
   17849.00      -8.823050       7.516885    
   17854.00      -8.909247       7.513189    
   17859.00      -9.004271       7.509497    
   17864.00      -9.110126       7.505805    
   17869.00      -9.229440       7.502116    
   17874.00      -9.366176       7.498428    
   17879.00      -9.526052       7.494745    
   17884.00      -9.718554       7.491062    
   17889.00      -9.960018       7.487383    
   17894.00      -10.28393       7.483706    
   17899.00      -10.77687       7.480030    
   17900.00      -10.91502       7.479296    
   17904.00      -11.83891       7.476358    
   17909.00      -11.84591       10.52382    
   17914.00      -10.77636       10.51896    
   17919.00      -10.27774       10.51410    
   17924.00      -9.948832       10.50925    
   17929.00      -9.702679       10.50440    
   17934.00      -9.505923       10.49955    
   17939.00      -9.341913       10.49471    
   17944.00      -9.201205       10.48987    
   17949.00      -9.078056       10.48503    
   17954.00      -8.968481       10.48019    
   17959.00      -8.869843       10.47536    
   17964.00      -8.780089       10.47053    
   17969.00      -8.697810       10.46570    
   17974.00      -8.621802       10.46088    
   17979.00      -8.551230       10.45606    
   17984.00      -8.485350       10.45124    
   17989.00      -8.423557       10.44642    
   17994.00      -8.365420       10.44161    
   17999.00      -8.310498       10.43680    
   18000.00      -8.299880       10.43584    
   18004.00      -8.258496       10.43200    
   18100.00      -7.586731       10.34025    
   18200.00      -7.199218       10.24577    
   18300.00      -6.962530       10.15239    
   18400.00      -6.839083       10.06011    
   18500.00      -6.855640       9.968908    
   18542.00      -6.935401       9.930922    
   18547.00      -6.950122       9.926412    
   18552.00      -6.966337       9.921905    
   18557.00      -6.984221       9.917401    
   18562.00      -7.003983       9.912898    
   18567.00      -7.025851       9.908400    
   18572.00      -7.050134       9.903902    
   18577.00      -7.077179       9.899408    
   18582.00      -7.107461       9.894916    
   18587.00      -7.141539       9.890428    
   18592.00      -7.180182       9.885942    
   18597.00      -7.224423       9.881457    
   18600.00      -7.254207       9.878769    
   18602.00      -7.275632       9.876977    
   18607.00      -7.335867       9.872498    
   18612.00      -7.408136       9.868023    
   18617.00      -7.497439       9.863548    
   18622.00      -7.612521       9.859078    
   18627.00      -7.771674       9.854609    
   18632.00      -8.023482       9.850145    
   18637.00      -8.622153       9.845683    
   18642.00      -8.417857       11.37098    
   18647.00      -7.930301       11.36633    
   18652.00      -7.683912       11.36168    
   18657.00      -7.515642       11.35704    
   18662.00      -7.386488       11.35239    
   18667.00      -7.281019       11.34775    
   18672.00      -7.191355       11.34311    
   18677.00      -7.113091       11.33847    
   18682.00      -7.043386       11.33384    
   18687.00      -6.980340       11.32920    
