  Element 83: Bi      Atomic mass:  208.9804

  Edge          keV         A
    K        90.5259    0.1370
    L-I      16.3875    0.7566
    L-II     15.7111    0.7892
    L-III    13.4186    0.9240
    M1        3.9991    3.1003
    M2        3.6963    3.3543
    M3        3.1769    3.9027
    M4        2.6876    4.6132
    M5        2.5796    4.8063

Scattering factors as a function of energy: 

   23300.00      -1.000323       6.696207    
   23400.00     -0.9846215       6.650070    
   23500.00     -0.9693974       6.604424    
   23600.00     -0.9546371       6.559262    
   23700.00     -0.9403268       6.514577    
   23800.00     -0.9264535       6.470364    
   23900.00     -0.9130042       6.426614    
   24000.00     -0.8999668       6.383320    
   24100.00     -0.8873295       6.340477    
   24200.00     -0.8750808       6.298078    
   24300.00     -0.8632100       6.256118    
   24400.00     -0.8517059       6.214588    
   24500.00     -0.8405585       6.173484    
   24600.00     -0.8297579       6.132800    
   24700.00     -0.8192943       6.092529    
   24800.00     -0.8091586       6.052667    
   24900.00     -0.7993413       6.013206    
