  Element 74: W       Atomic mass:  183.8500

  Edge          keV         A
    K        69.5250    0.1783
    L-I      12.0998    1.0247
    L-II     11.5440    1.0740
    L-III    10.2068    1.2147
    M1        2.8196    4.3972
    M2        2.5749    4.8151
    M3        2.2810    5.4355
    M4        1.8716    6.6245
    M5        1.8092    6.8530

Scattering factors as a function of energy: 

   19800.00     -0.4328397       5.605944    
   19900.00     -0.4249374       5.559426    
   20000.00     -0.4174096       5.513495    
   20100.00     -0.4102442       5.468141    
   20200.00     -0.4034303       5.423355    
   20300.00     -0.3969599       5.379128    
   20400.00     -0.3909281       5.335448    
   20500.00     -0.3851802       5.292313    
   20600.00     -0.3796665       5.249709    
   20700.00     -0.3744420       5.207626    
   20800.00     -0.3695036       5.166057    
   20900.00     -0.3648430       5.124991    
   21000.00     -0.3604519       5.084422    
   21100.00     -0.3563220       5.044341    
   21200.00     -0.3524451       5.004739    
   21300.00     -0.3492674       4.965611    
   21400.00     -0.3458725       4.926947    
   21500.00     -0.3427082       4.888740    
   21600.00     -0.3397671       4.850984    
   21700.00     -0.3370424       4.813669    
   21800.00     -0.3345276       4.776792    
   21900.00     -0.3322161       4.740342    
   22000.00     -0.3301018       4.704314    
   22100.00     -0.3281788       4.668701    
   22200.00     -0.3264412       4.633498    
   22300.00     -0.3248835       4.598697    
   22400.00     -0.3235002       4.564292    
   22500.00     -0.3222862       4.530278    
   22600.00     -0.3212364       4.496647    
   22700.00     -0.3203458       4.463395    
   22800.00     -0.3196099       4.430516    
   22900.00     -0.3190238       4.398004    
   23000.00     -0.3185833       4.365852    
   23100.00     -0.3217499       4.334067    
   23200.00     -0.3216015       4.302705    
   23300.00     -0.3215845       4.271690    
   23400.00     -0.3216949       4.241014    
   23500.00     -0.3219290       4.210673    
   23600.00     -0.3222832       4.180662    
   23700.00     -0.3227539       4.150977    
   23800.00     -0.3233377       4.121613    
   23900.00     -0.3240314       4.092564    
   24000.00     -0.3248316       4.063826    
   24100.00     -0.3257353       4.035395    
   24200.00     -0.3276461       4.007267    
   24300.00     -0.3287543       3.979458    
   24400.00     -0.3299568       3.951941    
   24500.00     -0.3312509       3.924715    
   24600.00     -0.3326339       3.897774    
   24700.00     -0.3341032       3.871115    
   24800.00     -0.3356562       3.844733    
   24900.00     -0.3372907       3.818625    
